#########################################################
# 
# -------------------------------------------------------
# Columns:
# -------------------------------------------------------
# (1) DateUT    = Date of observation (UT)
# (2) T         = Time since merger (days)
# (3) Telescope = Observing telescope/instrument
# (4) Freq      = Observing frequency (Hz)
# (5) FluxD     = Flux density (micro Jansky)
# (6) FluxDErr  = Flux density uncertainty (micro Jansky)
# (1sigma for detection and 3sigma for upper limit)
# 
# -------------------------------------------------------
# Table can be read into astropy using:
# -------------------------------------------------------
# from astropy.io import ascii
# gw170817 = ascii.read('gw170817_afterglow_data_full.txt')
# 
# -------------------------------------------------------
# References:
# -------------------------------------------------------
# See Makhatini+2020 (https://arxiv.org/abs/2006.02382) 
# and references therein. T=989 ATCA data point is 
# from Troja+2020 (2020MNRAS.498.5643T). T~1250 VLA and 
# Chandra points from Balasubramanian+2021 (arXiv:2103.04821).
# T~1200-1300 d ATCA data points from Troja+2021 (arXiv:2104.13378). 
# 
# -------------------------------------------------------
# Change log:
# -------------------------------------------------------
# 05 Jun 2020: Data first published online
# 01 Dec 2020: Fixed typo ATCA 580 d point. 
# 08 Mar 2020: Added VLA and Chandra data points for T~1250.
#              Fixed typos for MeerKAT and uGMRT 1.3 GHz 
#              points(78-380 d) and VLA 6 GHz point (24 d).
# 04 May 2021: Fixed all Chandra and XMM-Newton flux density
#              values (setting correctpsf=yes in CIAO 
#              specextract caused gave discrepant values earlier, 
#              as pointed out by Troja+2021 (arXiv:2104.13378).
#              Added ATCA points from Troja+2021.
# -------------------------------------------------------
# Questions and comments to:
# -------------------------------------------------------
# sphemakh@gmail.com, kunal@astro.caltech.edu
# 
#########################################################
DateUT, T, Telescope, Freq, FluxD, FluxDErr
#########################################################
2017-Aug-18.10, 0.57, VLA, 9.70e9, <144, 
2017-Aug-18.1, 0.60, Swift, 2.41e17, <7.8e-3, 
2017-Aug-18.21, 0.68, ATCA, 8.50e9, <120, 
2017-Aug-18.21, 0.68, ATCA, 1.05e10, <150, 
2017-Aug-18.2, 0.70, NuSTAR, 1.20e18, <7.3e-4, 
2017-Aug-18.46, 0.93, uGMRT, 6.10e8, <195, 
2017-Aug-18.5, 1.00, Swift, 2.41e17, <7.5e-2, 
2017-Aug-18.6, 1.10, Swift, 2.41e17, <5.0e-3, 
2017-Aug-18.95, 1.43, ALMA, 3.39e11, <126, 
2017-Aug-18.97, 1.44, VLA, 1.00e10, <13.8, 
2017-Aug-18.97, 1.44, VLITE/VLA, 3.40e8, <34800, 
2017-Aug-19.0, 1.50, Swift, 2.41e17, <3.7e-3, 
2017-Aug-19.6, 2.10, Swift, 2.41e17, <2.9e-3, 
2017-Aug-19.8, 2.30, Swift, 2.41e17, <3.8e-3, 
2017-Aug-19.9, 2.40, Chandra, 2.41e17, <2.3e-4, 
2017-Aug-19.95, 2.41, ALMA, 9.75e10, <75, 
2017-Aug-19.95, 2.42, VLA, 1.50e10, <17.7, 
2017-Aug-19.95, 2.43, VLA, 6.20e9, <20, 
2017-Aug-19.95, 2.43, VLA, 9.70e9, <17, 
2017-Aug-19.95, 2.43, VLA, 1.50e10, <22, 
2017-Sep-19.97, 2.44, VLITE/VLA, 3.40e8, <28000, 
2017-Aug-19.97, 2.44, VLA, 1.00e10, <17.1, 
2017-Aug-19.97, 2.46, VLA, 6.00e9, <21.9, 
